id,min,q1,median,q3,max
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,10.1364,11.6751,11.9709,12.1786,12.5384
System.Connective Tissue.Bone marrow.CHONDROCYTE,6.28055,11.1532,11.845,12.4126,12.9027
System.Cardiovascular System.Heart.VALVE,10.6112,11.2627,11.8341,12.1471,12.8575
System.Cardiovascular System.Heart.VENTRICLE,9.44276,11.0739,11.3339,11.6059,12.0916
System.Nervous System.CNS.SPINAL CORD,6.514,10.6381,11.1392,11.6,12.8416
System.Cardiovascular System.Heart.HEART,2.61696,9.34488,10.9708,11.5239,12.1391
System.Cardiovascular System.Heart.ATRIUM,8.13126,9.7019,10.8691,11.3241,11.6133
System.Connective Tissue.Adipose tissue.ADIPOCYTE,9.00777,10.3227,10.8533,11.1914,11.9063
System.Integumentary System.Skin.MELANOCYTE,8.18051,10.1223,10.8024,11.5154,11.9217
System.Connective Tissue.Adipose tissue.ADIPOSE,8.7316,9.42509,10.5123,11.5918,12.0924
System.Nervous System.CNS.THALAMUS,7.39524,9.38853,10.4306,11.02,11.8021
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,3.53779,9.13664,10.3571,11.0499,11.8248
System.Nervous System.CNS.HYPOTHALAMUS,7.3712,9.35141,10.2307,11.0143,11.9045
System.Integumentary System.Skin.SKIN,2.41968,8.61253,10.2107,11.2038,12.1658
System.Integumentary System.Skin.HAIR FOLLICLE,4.73358,8.66519,10.1813,11.1038,11.9408
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,8.65349,9.39483,10.0945,12.0522,13.0462
System.Connective Tissue.Bone.OSTEOBLAST,7.74677,9.08164,10.0024,10.6858,11.3332
System.Integumentary System.Skin.FIBROBLAST,2.77595,8.21284,9.92094,10.9533,12.0395
System.Muscular System.Smooth muscle.MYOFIBROBLAST,8.6316,9.15397,9.89742,11.0424,12.3413
System.Immune System.Myeloid.MACROPHAGE,2.61696,8.08164,9.86149,11.15,11.9709
System.Nervous System.CNS.ASTROCYTE,3.05618,7.86326,9.79901,11.0292,12.7636
System.Connective Tissue.Bone.STROMAL CELL,0.113644,8.54373,9.69981,10.6314,11.966
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,6.68156,9.1361,9.56277,10.0863,11.2394
System.Nervous System.PNS.SENSORY NEURON,7.14784,8.29641,9.5331,10.8608,11.4602
System.Digestive System.Liver.HEPATIC STELLATE CELL,8.14891,8.8032,9.53006,10.5722,11.2904
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,7.11733,8.88423,9.5157,11.3459,12.5194
System.Immune System.Myeloid.MICROGLIA,0.113644,5.89334,9.27507,11.1134,11.7928
System.Nervous System.CNS.OLIGODENDROCYTE,4.76474,8.02584,9.22919,10.546,12.8755
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,6.44391,9.18625,10.1002,11.3841
System.Digestive System.Intestine.COLON MUCOSA,4.35748,6.389,8.75771,10.9731,11.8504
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,4.55757,7.94863,8.63873,9.27908,10.4139
System.Immune System.Myeloid.DENDRITIC CELL,4.33523,7.21103,8.45606,9.38686,10.6401
System.Digestive System.Intestine.SMALL INTESTINE,3.93583,6.63818,8.4413,9.93025,11.1816
System.Urogenital/Reproductive System.Ovary.OVARY,1.21814,6.74343,8.35639,9.44351,10.9602
System.Respiratory System.Lung.LUNG,0.113644,4.47438,8.33578,9.98229,11.4974
System.Digestive System.Intestine.COLON,1.20968,5.96743,8.30694,9.48878,11.6298
System.Nervous System.CNS.MEDULLA,0.113644,5.29383,8.16752,9.56963,10.7012
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,5.61977,7.86685,9.10098,9.92322
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,1.20968,5.56126,7.82526,9.65565,11.0523
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,6.00866,7.59665,10.0988,12.0865
