id,min,q1,median,q3,max
System.Connective Tissue.Bone.OSTEOBLAST,6.24124,11.9112,14.6805,15.9328,16.857
System.Connective Tissue.Bone.STROMAL CELL,0.113644,10.0411,12.9992,14.6277,16.3707
System.Integumentary System.Skin.HAIR FOLLICLE,6.41198,10.9462,12.7528,14.6214,15.4785
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,7.48709,10.8704,12.5927,14.5779,15.8972
System.Cardiovascular System.Heart.VALVE,8.65905,11.3205,12.565,14.6214,15.611
System.Digestive System.Liver.HEPATIC STELLATE CELL,5.31791,10.6547,12.2531,13.2647,14.7719
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,9.24715,10.7948,12.1607,13.0438,14.3114
System.Connective Tissue.Adipose tissue.ADIPOCYTE,5.63269,9.36558,11.9915,14.4612,16.2471
System.Connective Tissue.Adipose tissue.ADIPOSE,5.98306,9.93617,10.6913,12.1183,14.7082
System.Integumentary System.Skin.SKIN,0.113644,6.30103,10.6119,12.5909,14.8264
System.Connective Tissue.Bone marrow.CHONDROCYTE,1.81287,7.74266,10.5931,13.5629,15.7233
System.Cardiovascular System.Heart.HEART,0.113644,8.46109,10.4729,11.7747,14.2567
System.Cardiovascular System.Heart.VENTRICLE,7.56062,9.26136,10.4559,11.7042,14.032
System.Muscular System.Skeletal muscle.MYOBLAST,1.10008,8.15184,10.2332,12.3575,14.6921
System.Integumentary System.Skin.FIBROBLAST,0.113644,5.69219,10.1549,13.0114,15.3615
System.Muscular System.Smooth muscle.MYOFIBROBLAST,3.27392,8.05402,9.61612,14.0061,14.921
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,4.18218,6.88954,9.07477,12.2797,13.1257
System.Cardiovascular System.Heart.ATRIUM,3.98966,7.08335,8.48719,10.748,14.7569
System.Immune System.Myeloid.KUPFFER CELL,0.113644,0.113644,8.18077,12.7524,13.0645
System.Nervous System.CNS.MEDULLA,0.113644,0.113644,8.148,10.1485,11.6506
System.Integumentary System.Skin.BASAL CELL,0.113644,4.63537,7.83422,9.79953,12.2785
System.Respiratory System.Trachea.TRACHEA,0.113644,4.16691,7.50607,10.2524,13.8497
System.Digestive System.Intestine.COLON MUCOSA,0.113644,3.36466,7.10473,10.4666,14.2552
System.Nervous System.CNS.ASTROCYTE,0.113644,1.81287,5.7726,10.0458,14.6277
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,1.81287,4.3519,5.74381,8.62769,14.3901
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,2.67212,5.45333,8.76183,11.9423
System.Digestive System.Liver.LIVER,0.113644,1.20968,5.20789,7.51341,11.0352
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,1.20968,5.19501,10.2365,12.5941
System.Nervous System.CNS.HYPOTHALAMUS,1.81287,2.16272,5.18213,9.37935,13.5934
System.Integumentary System.Skin.KERATINOCYTE,0.113644,2.92457,5.07842,7.27416,11.8773
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,2.99037,4.51527,8.97474,12.7268
System.Nervous System.CNS.THALAMUS,0.113644,1.81287,4.16691,7.31066,13.1447
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,2.61696,4.05534,7.31584,11.7559
System.Digestive System.Liver.HEPATOCYTE,0.113644,1.20968,3.76961,6.67736,10.8322
System.Nervous System.PNS.SENSORY NEURON,0.113644,1.20968,3.39116,6.85717,9.54346
System.Digestive System.Intestine.COLON,0.113644,0.113644,3.39116,9.79605,12.0918
System.Nervous System.CNS.NEURON,0.113644,0.113644,3.28517,6.77744,11.9592
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,2.92457,5.20789,7.60281
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,2.77595,4.3519,5.98118
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,2.41968,6.70637,12.1569
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,2.41968,6.15514,9.12361
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,0.113644,2.29401,4.81802,5.06336
System.Integumentary System.Skin.MELANOCYTE,0.113644,0.113644,2.16272,5.27594,13.588
System.Nervous System.CNS.SPINAL CORD,0.113644,1.20968,2.16272,4.21911,9.01234
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,0.113644,2.16272,7.36716,11.7724
System.Immune System.Myeloid.MICROGLIA,0.113644,0.113644,1.81287,9.39067,11.7477
System.Nervous System.CNS.CEREBRAL CORTEX,0.113644,1.20968,1.81287,4.20535,10.9679
System.Nervous System.Eye.RETINA,0.113644,0.113644,1.81287,5.07842,11.1424
System.Respiratory System.Lung.LUNG,0.113644,0.113644,1.20968,8.79565,12.8902
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,0.113644,4.15291,6.39293
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,0.113644,13.5923
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,0.113644,9.33915,11.3775
System.Immune System.Myeloid.MACROPHAGE,0.113644,0.113644,0.113644,0.113644,10.2779
System.Immune System.Thymus.THYMUS,0.113644,0.113644,0.113644,1.20968,11.6456
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,0.113644,1.20968,6.98358
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,0.113644,0.113644,0.113644,2.41968
System.Nervous System.CNS.CEREBELLUM,0.113644,0.113644,0.113644,0.113644,2.61696
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,0.113644,0.113644,0.113644,5.84357
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,0.113644,3.43543,9.36385
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,0.113644,0.113644,4.07651
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,0.113644,0.113644,0.113644,5.98363
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,0.113644,0.113644,0.113644,3.70787
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,0.113644,0.113644,4.31312
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,0.113644,5.25971,8.97927
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,0.113644,1.20968
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,0.113644,0.113644,6.30103
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,0.113644,0.113644,0.113644,2.16272
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,0.113644,0.113644,5.70924,13.5103
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,0.113644,4.56034,13.23
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,0.113644,5.78326,10.6615
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,0.113644,0.113644,0.113644,5.08663
System.Nervous System.CNS.PONS,0.113644,0.113644,0.113644,6.39847,12.2575
