id,min,q1,median,q3,max
System.Connective Tissue.Bone.OSTEOBLAST,8.84412,10.9001,12.1576,13.5074,14.8219
System.Digestive System.Liver.HEPATIC STELLATE CELL,8.84371,10.451,11.739,12.7591,14.2547
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,7.41364,10.1053,11.1512,12.0338,13.342
System.Connective Tissue.Adipose tissue.ADIPOCYTE,3.28517,7.21826,10.9689,13.5074,14.8142
System.Muscular System.Smooth muscle.MYOFIBROBLAST,7.72849,9.40599,10.8082,13.3475,14.6369
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,3.32756,6.87137,10.3836,12.8416,14.1635
System.Integumentary System.Skin.FIBROBLAST,0.113644,6.70196,9.83515,11.7434,13.8901
System.Connective Tissue.Bone marrow.CHONDROCYTE,1.81287,7.03846,9.48497,11.9825,14.3239
System.Connective Tissue.Bone.STROMAL CELL,0.113644,4.76117,9.42945,12.3542,14.2816
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,4.71212,9.27797,11.4398,13.1266
System.Immune System.Myeloid.KUPFFER CELL,2.71719,3.70787,7.9544,12.6792,14.0688
System.Cardiovascular System.Heart.HEART,0.113644,3.48123,7.89585,10.5798,13.0382
System.Immune System.Myeloid.MACROPHAGE,0.113644,5.59303,7.66804,9.5203,13.6186
System.Nervous System.CNS.OLIGODENDROCYTE,2.99037,6.53855,7.63847,9.07732,10.2016
System.Nervous System.CNS.CEREBRAL CORTEX,4.40117,6.19551,7.47945,7.76156,8.5327
System.Cardiovascular System.Heart.VALVE,2.90228,6.07935,7.41588,12.2824,14.533
System.Nervous System.CNS.ASTROCYTE,0.113644,2.92457,7.30561,8.95941,12.0361
System.Urogenital/Reproductive System.Kidney.PODOCYTE,2.74032,4.71212,6.2249,7.20068,11.3512
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,3.89584,5.88569,9.53065,13.5332
System.Nervous System.CNS.NEURON,0.113644,3.05618,5.59303,7.7752,10.041
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,5.44176,7.08909,10.2528
