id,min,q1,median,q3,max
System.Digestive System.Liver.HEPATOCYTE,8.4217,9.40325,10.3565,11.0099,11.8009
System.Immune System.Myeloid.KUPFFER CELL,9.56062,9.91876,10.3353,10.6987,10.8697
System.Connective Tissue.Bone.OSTEOBLAST,8.93272,9.8533,10.3081,10.8731,11.3548
System.Digestive System.Liver.LIVER,1.20968,7.9143,10.1316,10.923,11.6827
System.Cardiovascular System.Heart.VALVE,8.08364,8.84372,10.1078,10.4717,11.0068
System.Connective Tissue.Adipose tissue.ADIPOCYTE,7.85503,8.9972,9.96159,10.706,11.4156
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,9.24074,9.63199,9.80535,10.026,10.3148
System.Digestive System.Liver.HEPATIC STELLATE CELL,8.66412,9.38938,9.78515,10.6547,11.5252
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,8.74732,9.21084,9.67781,10.0755,10.5935
System.Connective Tissue.Bone marrow.CHONDROCYTE,6.39847,9.16234,9.67035,10.0784,10.6206
System.Connective Tissue.Bone.STROMAL CELL,6.09379,8.92759,9.66947,10.2787,11.2838
System.Muscular System.Smooth muscle.MYOFIBROBLAST,8.30492,9.27291,9.66301,9.98917,11.0768
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,7.30901,8.59837,9.66068,10.3718,11.5528
System.Connective Tissue.Adipose tissue.ADIPOSE,7.15725,9.05898,9.61169,10.1213,11.0924
System.Integumentary System.Skin.FIBROBLAST,1.81287,8.29563,9.48878,10.289,11.3626
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,9.4071,9.68572,10.0015
System.Immune System.Myeloid.MACROPHAGE,0.113644,8.3629,9.22023,9.93988,10.8185
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,5.99052,9.21084,10.1585,11.1227
System.Urogenital/Reproductive System.Kidney.PODOCYTE,5.97834,8.82547,9.17122,9.5009,9.84383
System.Nervous System.CNS.HYPOTHALAMUS,6.52101,8.50395,9.12937,9.90899,10.1157
System.Immune System.Myeloid.MICROGLIA,0.113644,7.92315,9.00801,9.51301,10.3833
System.Integumentary System.Skin.SKIN,3.40017,7.85883,8.90451,9.7965,10.9835
System.Integumentary System.Skin.HAIR FOLLICLE,4.58554,7.49889,8.88014,11.0553,11.7277
System.Cardiovascular System.Heart.HEART,3.81966,7.62734,8.85952,9.55427,11.3158
System.Integumentary System.Skin.MELANOCYTE,7.1107,8.42707,8.78718,9.21057,10.0998
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,7.72529,8.77715,9.6474,10.8311
System.Nervous System.CNS.THALAMUS,5.27074,7.56056,8.75087,9.86479,10.107
System.Integumentary System.Skin.KERATINOCYTE,7.08638,8.29312,8.72465,9.37075,10.3242
System.Respiratory System.Trachea.TRACHEA,4.98788,7.64512,8.64827,9.57078,10.1454
System.Nervous System.CNS.SPINAL CORD,4.92273,7.96365,8.4817,8.93702,9.46115
System.Nervous System.CNS.ASTROCYTE,1.20968,6.64674,8.40872,9.28129,10.324
System.Integumentary System.Skin.BASAL CELL,3.95166,6.85635,8.39705,9.2583,10.102
System.Cardiovascular System.Heart.VENTRICLE,7.19727,7.93693,8.37793,8.8136,10.2739
System.Nervous System.CNS.OLIGODENDROCYTE,4.2594,7.28431,8.11752,9.03098,10.3491
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,3.91181,6.62788,8.10479,9.23256,9.77047
System.Cardiovascular System.Heart.ATRIUM,2.37735,5.06446,7.93467,8.68843,9.79423
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,6.94077,7.91821,8.54893,9.95055
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,5.73057,7.74633,8.9937,10.8546
System.Respiratory System.Lung.LUNG,0.113644,5.91845,7.72768,9.01458,10.2412
System.Nervous System.CNS.MEDULLA,0.113644,3.91045,7.64019,9.11562,10.0793
System.Digestive System.Intestine.COLON MUCOSA,3.76967,5.53212,7.49315,8.81756,10.5762
