id,min,q1,median,q3,max
System.Immune System.Myeloid.MACROPHAGE,0.113644,6.76675,9.69301,10.9963,12.267
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,5.97647,9.61646,11.0315,12.4602
System.Integumentary System.Skin.KERATINOCYTE,4.62812,7.21103,8.12929,9.08539,10.2838
System.Connective Tissue.Adipose tissue.ADIPOSE,2.07526,6.9462,8.11293,8.93279,9.78647
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,6.36953,7.45283,8.02584,8.39281,8.86705
System.Integumentary System.Skin.BASAL CELL,0.113644,5.30833,7.74646,8.92249,13.6229
System.Respiratory System.Trachea.TRACHEA,2.16272,5.61397,7.54135,8.50395,9.9533
System.Immune System.Myeloid.KUPFFER CELL,6.82123,7.12343,7.49469,8.48302,8.98693
System.Integumentary System.Skin.SKIN,0.113644,3.9543,7.44713,9.0923,10.3825
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,2.77595,6.9754,9.3872,10.3949
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,3.91922,5.84343,6.88087,7.45283,8.12588
System.Connective Tissue.Adipose tissue.ADIPOCYTE,4.71212,5.96743,6.86236,7.47443,8.74563
System.Muscular System.Smooth muscle.MYOFIBROBLAST,3.748,5.71788,6.76763,7.46181,8.21862
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,5.81229,5.90539,6.4442,7.27403,8.39215
System.Digestive System.Liver.HEPATIC STELLATE CELL,2.92457,5.31558,6.30103,7.25523,8.17392
System.Connective Tissue.Bone.OSTEOBLAST,2.93115,5.46347,6.20084,7.25648,8.09824
System.Connective Tissue.Bone.STROMAL CELL,0.113644,3.05618,6.08859,7.62226,9.086
System.Integumentary System.Skin.FIBROBLAST,0.113644,2.41968,5.96743,7.35721,8.90936
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,3.43543,5.89233,7.27416,8.00696
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,5.28658,7.02769,8.2431
System.Cardiovascular System.Heart.ATRIUM,1.20968,2.61696,5.27315,5.92676,6.97201
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,3.89584,5.12981,5.88569,7.48542
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,0.113644,4.96278,6.84192,8.30547
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,3.9543,4.93037,6.13494,7.67462
System.Cardiovascular System.Heart.VENTRICLE,0.113644,4.00388,4.74622,5.41382,6.30103
System.Cardiovascular System.Heart.HEART,0.113644,2.77595,4.67269,6.05008,7.65604
System.Digestive System.Liver.HEPATOCYTE,0.113644,3.05618,4.56034,5.81111,7.45751
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,4.53675,6.28124,9.41575
System.Integumentary System.Skin.MELANOCYTE,0.113644,3.70787,4.40897,5.15019,8.11739
System.Nervous System.CNS.ASTROCYTE,0.113644,2.41968,4.31312,5.49388,7.18296
System.Nervous System.CNS.SPINAL CORD,1.81287,3.28517,4.26947,5.02256,6.28124
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,2.92457,4.00388,5.22167,6.16769
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,2.61696,3.76961,4.82627,7.69574
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,2.16272,3.76961,5.31558,8.4257
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,0.113644,3.70787,5.42474,8.61738
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,1.20968,3.64478,5.34282,8.36194
System.Digestive System.Intestine.COLON,0.113644,1.81287,3.48123,5.04875,7.40438
System.Digestive System.Intestine.COLON MUCOSA,0.113644,1.81287,3.33816,6.46267,7.85018
System.Digestive System.Liver.LIVER,0.113644,1.20968,3.28517,4.74622,7.48302
System.Nervous System.CNS.THALAMUS,1.20968,2.77595,3.28517,4.03246,5.71515
System.Nervous System.CNS.HYPOTHALAMUS,1.81287,2.77595,3.1737,4.11061,5.03783
System.Nervous System.CNS.CEREBRAL CORTEX,1.78271,2.41968,3.11494,4.38682,7.08651
System.Respiratory System.Lung.LUNG,0.113644,0.113644,3.05618,5.79561,8.35903
System.Immune System.Myeloid.MICROGLIA,0.113644,0.113644,2.92457,4.78558,9.59607
System.Nervous System.Eye.RETINA,0.113644,1.20968,2.92457,3.9543,6.01608
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,1.20968,2.92457,4.71212,7.68261
System.Nervous System.CNS.MEDULLA,0.113644,1.20968,2.77595,4.28962,6.21175
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,1.81287,2.61696,4.02961,7.04265
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,1.20968,2.41968,3.48123,5.93591
System.Nervous System.PNS.SENSORY NEURON,0.113644,1.81287,2.41968,3.31221,5.75821
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,2.2912,3.56825,4.95269
System.Nervous System.CNS.PONS,0.113644,0.113644,2.16272,5.18213,9.53677
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,1.9878,3.62564,5.99238
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,0.113644,1.81287,3.2573,5.24558
System.Nervous System.CNS.NEURON,0.113644,0.113644,1.81287,3.1737,5.12981
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,0.113644,1.51127,2.87539,4.73125
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,4.31312,8.60355
System.Nervous System.CNS.CEREBELLUM,0.113644,0.113644,0.113644,1.20968,4.47006
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,0.113644,0.113644,4.52654,7.6858
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,0.113644,0.113644,3.89584
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,0.113644,0.113644,1.20968,4.09997
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,0.113644,1.20968,4.77752
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,0.113644,0.113644,3.75089
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,0.113644,0.113644,2.90971
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,0.113644,1.20968
System.Immune System.Thymus.THYMUS,0.113644,0.113644,0.113644,2.35544,5.95929
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,0.113644,0.113644,3.91675
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,0.113644,0.113644,5.94221
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,0.113644,3.28517,5.86705
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,0.113644,4.19301,8.90991
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,0.113644,1.20968,3.65202
System.Cardiovascular System.Heart.VALVE,0.113644,0.113644,0.113644,5.34532,7.51682
