id,min,q1,median,q3,max
System.Immune System.Myeloid.MACROPHAGE,5.16705,8.85952,10.7044,11.7567,12.9436
System.Immune System.Myeloid.DENDRITIC CELL,4.44409,8.40489,10.3793,11.5268,13.0268
System.Cardiovascular System.Heart.VALVE,8.61351,9.58647,10.2038,10.6523,11.1273
System.Nervous System.CNS.SPINAL CORD,7.82535,9.77081,10.077,10.3216,10.6394
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,8.89016,9.55529,9.96255,10.2841,10.8761
System.Nervous System.CNS.CEREBRAL CORTEX,9.45658,9.65741,9.84377,10.046,10.3763
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,7.94137,9.31882,9.73955,10.2463,10.9531
System.Immune System.Myeloid.MICROGLIA,0.113644,8.48499,9.64027,10.5314,11.5745
System.Nervous System.CNS.CEREBELLUM,8.49852,9.23346,9.51089,9.747,10.3233
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,8.50134,9.20348,9.50903,9.85522,10.3507
System.Nervous System.CNS.ASTROCYTE,5.67402,8.5809,9.45601,10.3669,11.4834
System.Connective Tissue.Adipose tissue.ADIPOSE,7.11458,8.85399,9.34648,9.7665,10.5548
System.Cardiovascular System.Heart.VENTRICLE,8.18601,8.93178,9.32584,9.62331,10.1906
System.Nervous System.CNS.HYPOTHALAMUS,7.38978,8.55681,9.30245,9.80965,10.4257
System.Nervous System.CNS.OLIGODENDROCYTE,7.95616,8.71427,9.23137,9.6821,10.2731
System.Nervous System.CNS.THALAMUS,7.5728,8.09251,9.17601,9.62988,10.3574
System.Muscular System.Smooth muscle.MYOFIBROBLAST,8.43547,8.68318,9.15338,9.50876,10.4496
System.Digestive System.Liver.HEPATIC STELLATE CELL,7.9042,8.59416,9.13826,9.4951,10.5401
System.Connective Tissue.Adipose tissue.ADIPOCYTE,7.46275,8.72108,9.1361,9.6392,10.7806
System.Nervous System.Eye.RETINA,0.113644,7.96476,9.10281,9.65632,10.8925
