id,min,q1,median,q3,max
System.Digestive System.Pancreas.ALPHA CELL,8.28122,9.75376,11.6819,13.8241,15.308
System.Digestive System.Pancreas.PANCREATIC ISLET,8.37018,10.1639,11.348,13.1143,15.1382
System.Cardiovascular System.Heart.VALVE,9.01027,10.01,10.7872,11.0939,11.3562
System.Immune System.Myeloid.MACROPHAGE,7.25251,9.148,10.3604,11.1588,12.4742
System.Immune System.Myeloid.MICROGLIA,7.19032,7.97639,10.2354,13.5267,15.5435
System.Urogenital/Reproductive System.Ovary.GRANULOSA,8.58451,9.60406,10.1233,11.1888,12.5582
System.Integumentary System.Skin.KERATINOCYTE,8.15791,9.59445,9.98229,10.2807,10.8234
System.Connective Tissue.Bone.STROMAL CELL,7.65837,8.87526,9.94279,11.0506,12.9522
System.Nervous System.CNS.SPINAL CORD,7.28609,9.58663,9.92253,10.1352,10.4264
System.Integumentary System.Skin.SKIN,4.81306,9.17014,9.88733,10.6322,13.3822
System.Muscular System.Skeletal muscle.MYOBLAST,8.12567,9.25801,9.88286,10.8702,13.0496
System.Respiratory System.Trachea.TRACHEA,8.03016,9.37255,9.87999,10.0829,10.909
System.Immune System.Myeloid.DENDRITIC CELL,5.34282,7.56988,9.7182,10.8188,12.3038
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,7.18071,9.0306,9.69825,10.8528,11.4252
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,8.33286,8.97677,9.68966,10.0983,10.5357
System.Cardiovascular System.Heart.VENTRICLE,8.97651,9.43203,9.6663,9.89648,10.4953
System.Integumentary System.Skin.FIBROBLAST,3.9543,8.66501,9.55746,10.4368,13.4468
System.Urogenital/Reproductive System.Ovary.OVARY,6.59165,8.87463,9.53158,10.2658,11.7343
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,8.68564,9.24615,9.52562,9.75323,10.0988
System.Cardiovascular System.Heart.HEART,5.11953,8.88994,9.43823,9.93459,11.3064
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,8.50301,8.86266,9.41804,10.0553,10.6799
System.Digestive System.Pancreas.BETA CELL,6.32658,7.85782,9.37109,11.2239,15.0715
System.Integumentary System.Skin.BASAL CELL,5.07017,8.52491,9.33719,9.65985,10.3028
