id,min,q1,median,q3,max
System.Cardiovascular System.Heart.VALVE,6.72291,10.3837,12.5434,14.0632,14.8466
System.Connective Tissue.Adipose tissue.ADIPOSE,0.113644,9.4312,11.9677,12.6547,13.1641
System.Cardiovascular System.Heart.VENTRICLE,7.09311,10.577,11.1736,11.7664,12.5629
System.Cardiovascular System.Heart.ATRIUM,3.92963,8.48067,10.5953,11.453,12.1247
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,6.25447,10.5025,13.1578,14.6202
System.Immune System.Myeloid.MACROPHAGE,1.20968,6.83834,10.3487,14.0377,16.0295
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,3.30741,8.68262,9.3736,9.70121,10.8299
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,7.31371,9.23839,9.82084,11.1201
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,8.54373,9.18744,12.9051,13.5695
System.Nervous System.CNS.SPINAL CORD,2.61696,8.24861,9.14581,9.81002,10.5984
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,2.95747,8.79188,10.669,11.8576
System.Digestive System.Intestine.SMALL INTESTINE,5.28316,7.29365,8.6516,10.1265,11.4177
System.Nervous System.CNS.THALAMUS,1.63191,3.08356,8.21284,10.3228,11.8293
System.Nervous System.CNS.HYPOTHALAMUS,1.33032,2.16272,8.03109,10.238,12.2042
System.Immune System.Myeloid.KUPFFER CELL,1.35264,6.31529,7.98194,9.45802,9.67906
System.Immune System.Myeloid.MICROGLIA,0.113644,5.45333,7.94665,11.0482,13.9508
System.Digestive System.Liver.LIVER,0.113644,2.77595,7.48062,8.77503,10.6549
System.Cardiovascular System.Heart.HEART,0.113644,3.1737,7.01742,10.3064,12.1192
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,6.55607,9.86637,11.5218
System.Digestive System.Intestine.COLON,0.113644,2.77595,6.53429,10.0235,11.915
System.Digestive System.Intestine.COLON MUCOSA,0.113644,0.935672,6.33187,9.36342,11.3527
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,0.113644,5.85348,12.1006,13.0472
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,4.44193,5.78326,6.60756,7.37255
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,2.16272,5.44176,11.5984,13.7031
System.Digestive System.Liver.HEPATOCYTE,0.113644,2.77595,5.20789,7.85883,9.71254
System.Respiratory System.Trachea.TRACHEA,0.113644,1.81287,4.67269,7.39734,9.5325
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,4.43111,8.46107,10.8945
System.Nervous System.CNS.CEREBELLUM,0.113644,3.1737,4.3519,6.26032,9.75099
System.Integumentary System.Skin.BASAL CELL,0.113644,2.16272,3.60651,5.90219,9.97915
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,3.39116,7.91393,11.3839
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,1.20968,3.1737,5.34282,8.48753
System.Nervous System.Eye.RETINA,0.113644,0.113644,3.1737,4.87314,12.4857
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,0.113644,1.20968,3.05618,5.07842,7.31976
System.Nervous System.CNS.MEDULLA,0.113644,0.113644,2.77076,6.99444,9.34835
System.Respiratory System.Lung.LUNG,0.113644,0.113644,2.61696,9.4937,12.982
System.Nervous System.CNS.PONS,0.113644,0.113644,2.41968,6.54968,11.1457
System.Nervous System.CNS.CEREBRAL CORTEX,0.113644,0.113644,1.9878,3.59949,4.94562
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,1.81287,6.22326,9.27683
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,0.113644,1.81287,3.2573,9.21103
System.Integumentary System.Skin.SKIN,0.113644,0.113644,1.81287,9.55923,11.8938
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,1.20968,3.56825,10.0344
System.Nervous System.PNS.SENSORY NEURON,0.113644,0.113644,1.20968,1.81287,4.51631
System.Immune System.Thymus.THYMUS,0.113644,0.113644,1.20968,2.88741,9.94384
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,0.113644,1.20968,7.69953,11.4285
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,0.113644,1.20968,3.28517,9.05227
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,3.48123,8.50053
System.Connective Tissue.Bone.STROMAL CELL,0.113644,0.113644,0.113644,0.113644,8.25401
System.Nervous System.CNS.ASTROCYTE,0.113644,0.113644,0.113644,1.20968,7.54135
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,0.113644,6.18904
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,0.113644,0.113644,6.53937
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,0.113644,0.113644,3.41368,10.1904
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,0.113644,7.64512,12.2901
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,0.113644,6.91201,8.60354
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,0.113644,0.113644,0.113644,2.8354
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,0.113644,3.70787,9.61085
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,0.113644,1.81287,3.53283
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,0.113644,0.113644,1.9878,10.2316
System.Nervous System.CNS.NEURON,0.113644,0.113644,0.113644,1.20968,4.80976
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,0.113644,1.81287,7.00344
System.Integumentary System.Skin.FIBROBLAST,0.113644,0.113644,0.113644,0.113644,6.35023
System.Integumentary System.Skin.KERATINOCYTE,0.113644,0.113644,0.113644,1.81287,5.49342
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,0.113644,0.113644,5.37462,8.94997
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,0.113644,0.113644,0.113644,0.113644
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,0.113644,0.113644,5.33193
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,0.113644,0.113644,2.41968,6.55895
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,0.113644,0.113644,0.113644,0.113644,1.20968
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,0.113644,0.113644,0.113644,4.78708
System.Digestive System.Liver.HEPATIC STELLATE CELL,0.113644,0.113644,0.113644,2.16272,6.33581
System.Connective Tissue.Bone.OSTEOBLAST,0.113644,0.113644,0.113644,0.113644,9.05768
System.Muscular System.Smooth muscle.MYOFIBROBLAST,0.113644,0.113644,0.113644,0.113644,3.42268
System.Integumentary System.Skin.MELANOCYTE,0.113644,0.113644,0.113644,1.81287,11.5465
System.Connective Tissue.Adipose tissue.ADIPOCYTE,0.113644,0.113644,0.113644,4.38682,12.2094
