id,min,q1,median,q3,max
System.Connective Tissue.Bone marrow.CHONDROCYTE,9.62127,11.1858,11.7857,12.4104,13.237
System.Immune System.Myeloid.DENDRITIC CELL,1.20968,6.71195,11.5886,12.4688,13.2011
System.Digestive System.Liver.LIVER,1.20968,8.49406,11.3826,12.0834,12.6118
System.Integumentary System.Skin.HAIR FOLLICLE,8.30937,10.0771,11.3736,12.3274,12.8486
System.Connective Tissue.Adipose tissue.ADIPOCYTE,9.8169,10.8533,11.3367,11.7407,12.3148
System.Cardiovascular System.Heart.VALVE,4.89128,8.08991,11.2525,11.7498,12.514
System.Connective Tissue.Bone.OSTEOBLAST,8.09274,10.3063,11.2063,12.0897,13.1509
System.Immune System.Myeloid.MACROPHAGE,2.92457,9.21541,11.1328,12.0834,13.2273
System.Immune System.Myeloid.KUPFFER CELL,10.0042,10.4566,11.0866,11.6508,12.0961
System.Digestive System.Liver.HEPATOCYTE,6.21122,10.2463,11.0198,11.6043,12.5838
System.Connective Tissue.Adipose tissue.ADIPOSE,8.70389,10.447,10.9015,11.4103,11.985
System.Urogenital/Reproductive System.Kidney.PODOCYTE,2.12774,10.0041,10.6637,11.2112,11.7489
System.Digestive System.Pancreas.ALPHA CELL,6.75776,9.44537,10.6198,11.503,12.6851
System.Connective Tissue.Bone.STROMAL CELL,0.113644,9.49666,10.457,11.3835,12.298
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,8.42836,9.55663,10.4496,11.2382,11.8368
System.Nervous System.CNS.ASTROCYTE,2.41968,8.37004,10.3971,11.6869,12.9355
System.Nervous System.CNS.MIDBRAIN,4.76119,6.59976,10.2765,11.5477,13.0853
System.Muscular System.Smooth muscle.MYOFIBROBLAST,6.7465,8.4442,10.25,11.0814,12.3371
System.Integumentary System.Skin.FIBROBLAST,6.16133,9.3095,10.2033,11.031,11.9948
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,9.5029,9.87999,10.1662,10.4747,10.9561
System.Cardiovascular System.Heart.VENTRICLE,9.045,9.76853,10.1472,10.4976,11.8405
