id,min,q1,median,q3,max
System.Digestive System.Liver.HEPATIC STELLATE CELL,12.8461,14.2816,15.2572,15.9328,16.6677
System.Connective Tissue.Bone.OSTEOBLAST,11.7379,13.9348,14.9608,15.7616,16.6677
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,9.27748,10.81,14.4187,16.0295,17.3068
System.Muscular System.Smooth muscle.MYOFIBROBLAST,8.77497,12.2691,13.9347,15.4168,16.6677
System.Urogenital/Reproductive System.Kidney.PODOCYTE,6.30811,11.368,13.8779,15.0992,16.6677
System.Connective Tissue.Bone.STROMAL CELL,7.15896,11.8862,13.6565,14.654,15.7616
System.Integumentary System.Skin.FIBROBLAST,3.64478,10.9147,13.5692,14.8916,16.3707
System.Muscular System.Skeletal muscle.MYOBLAST,7.81863,10.4529,13.3299,14.8584,17.1051
System.Immune System.Myeloid.KUPFFER CELL,10.9483,11.8957,12.9495,15.7616,16.1368
System.Integumentary System.Skin.KERATINOCYTE,6.10435,10.3154,12.0361,12.9614,14.2493
System.Cardiovascular System.Heart.VALVE,7.98365,10.8401,12.0306,14.2866,15.9799
System.Digestive System.Liver.HEPATOCYTE,5.69898,10.2624,11.9613,13.6565,15.5305
System.Connective Tissue.Bone marrow.CHONDROCYTE,4.21954,10.514,11.7631,13.1918,14.8644
System.Connective Tissue.Adipose tissue.ADIPOCYTE,4.68846,8.9198,11.6586,14.3981,15.8972
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,10.4013,10.9827,11.5092,12.9203,14.6865
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,6.66665,10.1162,11.4136,12.7558,14.7389
System.Digestive System.Liver.LIVER,4.56034,8.8529,11.1041,12.6349,14.388
System.Integumentary System.Skin.BASAL CELL,4.88248,7.67381,10.7156,12.2153,13.3343
System.Cardiovascular System.Heart.HEART,4.00388,6.75783,10.6394,12.5596,15.611
System.Respiratory System.Trachea.TRACHEA,7.18707,9.20129,10.4095,13.3446,16.0509
System.Integumentary System.Skin.SKIN,3.39116,6.05008,10.272,13.9547,16.0295
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,5.57901,10.158,12.7382,14.7034
System.Respiratory System.Lung.LUNG,0.113644,6.59685,9.76423,12.1812,14.8916
System.Nervous System.CNS.ASTROCYTE,2.61696,5.79561,9.60083,13.8901,16.2471
System.Immune System.Myeloid.MACROPHAGE,3.76961,7.23213,8.82663,10.3971,11.9794
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,5.57767,6.65268,8.72723,10.5396,12.0124
System.Cardiovascular System.Heart.ATRIUM,4.04698,6.28871,8.6623,9.73208,12.0709
System.Nervous System.CNS.MEDULLA,3.83568,7.22872,8.61549,10.3709,12.7118
