id,min,q1,median,q3,max
System.Digestive System.Liver.LIVER,1.20968,8.16876,13.3523,14.2636,14.6277
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,9.2823,12.5168,13.3226,13.8418,14.1764
System.Cardiovascular System.Heart.VALVE,4.60473,8.15686,13.2437,13.7297,14.2041
System.Digestive System.Liver.HEPATOCYTE,4.21911,11.0188,13.0382,13.9811,14.4832
System.Immune System.Myeloid.KUPFFER CELL,9.78889,10.0057,12.398,13.8809,14.1702
System.Cardiovascular System.Heart.ATRIUM,7.36417,10.1907,11.5832,11.9826,12.6408
System.Connective Tissue.Bone marrow.CHONDROCYTE,7.0421,9.4124,11.3002,12.4823,13.6978
System.Connective Tissue.Adipose tissue.ADIPOSE,8.74743,10.5019,11.1922,12.5003,13.5422
System.Cardiovascular System.Heart.VENTRICLE,9.0405,10.7058,11.1594,11.6307,12.5714
System.Cardiovascular System.Heart.HEART,2.16272,8.68596,10.7083,11.6263,12.5681
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,5.97363,9.8738,10.4115,10.9344,11.6557
System.Connective Tissue.Adipose tissue.ADIPOCYTE,5.92543,8.53362,10.144,11.2382,13.0796
System.Integumentary System.Skin.HAIR FOLLICLE,6.86505,8.6727,10.0763,11.3512,12.9546
System.Nervous System.CNS.SPINAL CORD,6.66746,9.10974,9.94746,10.5588,11.2488
System.Muscular System.Smooth muscle.MYOFIBROBLAST,5.55103,7.73468,9.76411,10.9054,12.5184
System.Nervous System.CNS.HYPOTHALAMUS,8.57031,9.13826,9.67781,11.1544,11.5863
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,7.72768,9.62186,10.2645,11.6239
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,4.93847,9.50907,11.8917,13.2149
System.Digestive System.Liver.HEPATIC STELLATE CELL,6.16869,8.12929,9.47929,11.0916,12.2319
System.Integumentary System.Skin.SKIN,0.113644,6.68963,9.43595,11.4016,12.7366
System.Nervous System.CNS.THALAMUS,2.16272,8.48921,9.20348,10.6165,11.563
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,5.75269,8.29015,9.18212,10.0755,11.3175
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,2.75538,6.37004,9.12403,9.67781,10.9396
System.Integumentary System.Skin.FIBROBLAST,0.113644,6.68963,9.02752,10.682,12.526
System.Immune System.Granulocytic.GRANULOCYTE,2.40683,6.60963,8.967,10.0862,11.8579
System.Nervous System.Eye.RETINA,0.113644,6.00275,8.94069,9.98688,12.0356
System.Connective Tissue.Bone.STROMAL CELL,0.113644,4.65429,8.77128,10.6477,12.6756
System.Digestive System.Intestine.SMALL INTESTINE,1.10008,4.77725,8.75978,10.3056,12.0502
System.Immune System.Myeloid.MACROPHAGE,2.16272,7.08465,8.58424,10.607,13.2165
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,3.28517,8.56328,10.7343,12.1447
System.Nervous System.CNS.OLIGODENDROCYTE,4.21911,7.65056,8.55418,9.11663,9.92226
System.Immune System.Granulocytic.NEUTROPHIL,1.20968,6.66685,8.19977,9.69833,11.7498
System.Immune System.Myeloid.MICROGLIA,0.113644,5.27986,8.06116,8.88232,10.8795
System.Connective Tissue.Bone.OSTEOBLAST,0.168446,6.85317,8.00799,10.6034,13.3741
System.Nervous System.CNS.ASTROCYTE,0.113644,5.63312,7.7649,8.97262,11.0218
System.Nervous System.PNS.MOTOR NEURON,0.113644,5.34282,7.66804,9.46706,11.1484
System.Respiratory System.Trachea.TRACHEA,2.80751,5.47412,7.57242,8.85257,10.5439
System.Nervous System.CNS.MIDBRAIN,0.113644,5.59303,7.54934,10.6325,13.7592
System.Nervous System.CNS.CEREBRAL CORTEX,2.59424,6.95144,7.50974,8.23061,8.53798
System.Nervous System.CNS.NEURON,0.113644,5.59303,7.41835,8.9972,10.5354
System.Digestive System.Intestine.COLON MUCOSA,1.20968,6.14497,7.37677,8.67688,10.823
System.Integumentary System.Skin.KERATINOCYTE,1.81287,5.65482,7.37647,8.84482,11.1071
System.Digestive System.Intestine.COLON,0.113644,1.81287,7.34809,9.84044,12.0392
System.Integumentary System.Skin.MELANOCYTE,0.113644,5.32791,7.33108,8.65794,11.8104
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,7.33029,9.40874,11.7574
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,3.89584,6.9754,10.215,12.7905
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,6.93534,10.1773,13.4388
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,2.16272,6.8949,9.24339,11.5241
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,5.02256,6.79623,9.09155,10.6589
System.Nervous System.CNS.PONS,0.113644,0.113644,6.53965,8.77715,12.5189
System.Integumentary System.Skin.BASAL CELL,0.113644,5.07842,6.52299,8.96467,11.5657
System.Nervous System.CNS.CEREBELLUM,4.11061,5.3292,6.28742,7.408,9.00598
System.Nervous System.PNS.SENSORY NEURON,3.70021,4.47358,5.93591,8.05733,9.24034
System.Nervous System.CNS.MEDULLA,0.113644,0.113644,5.55381,9.9264,11.2498
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,3.67632,5.5331,8.69269,9.90354
System.Respiratory System.Lung.LUNG,0.113644,0.113644,5.15699,10.0012,13.1515
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,0.113644,5.15699,8.39493,9.88548
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,1.66207,4.65403,7.96073,10.063
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,4.16486,8.42013,10.352
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,2.28916,3.2573,4.10046,5.74739,6.14345
System.Immune System.Thymus.THYMUS,0.113644,1.20968,4.05748,7.32258,9.12904
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,1.20968,3.1737,6.30103,11.9256
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,0.113644,2.61696,5.67264,7.67742
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,2.61696,6.85317,11.0218
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,2.16272,4.56034,5.72354
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,2.16272,7.41835,10.0658
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,0.113644,2.16272,4.87982,11.5838
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,1.20968,2.61696,5.48164
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,0.113644,7.07929
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,0.113644,1.20968,6.20825
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,0.113644,3.91248,9.02799
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,0.113644,0.113644,4.99416,6.93968
