id,min,q1,median,q3,max
System.Connective Tissue.Bone.OSTEOBLAST,13.8181,15.6852,16.3707,16.867,17.1051
System.Digestive System.Liver.HEPATIC STELLATE CELL,13.8983,15.611,16.2471,16.5074,16.867
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,14.9608,15.8438,16.2471,16.6677,16.867
System.Connective Tissue.Bone.STROMAL CELL,10.3826,14.7013,15.7616,16.3707,17.1051
System.Connective Tissue.Adipose tissue.ADIPOCYTE,12.5755,15.0373,15.7616,16.3707,16.867
System.Muscular System.Skeletal muscle.MYOBLAST,12.9915,14.6277,15.5435,16.3707,17.1051
System.Connective Tissue.Adipose tissue.ADIPOSE,11.7788,14.9608,15.4785,16.0295,16.867
System.Muscular System.Smooth muscle.MYOFIBROBLAST,13.444,14.622,15.4785,16.1368,16.867
System.Cardiovascular System.Heart.VALVE,12.16,14.3107,15.1868,16.0295,16.3912
System.Nervous System.CNS.HYPOTHALAMUS,13.5864,14.9982,15.121,15.4785,16.1153
System.Nervous System.CNS.THALAMUS,12.8224,14.5181,15.0775,15.3347,16.0617
System.Connective Tissue.Bone marrow.CHONDROCYTE,12.1364,14.1051,15.0373,15.6852,17.0456
System.Integumentary System.Skin.FIBROBLAST,11.1783,13.7407,14.9608,15.6852,16.6677
System.Nervous System.CNS.SPINAL CORD,12.003,14.6277,14.9256,15.1641,15.611
System.Nervous System.CNS.ASTROCYTE,2.16272,10.5901,14.5779,16.0295,17.1051
System.Urogenital/Reproductive System.Kidney.PODOCYTE,4.04524,14.1364,14.5054,14.9086,16.1368
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,13.5512,13.9947,14.4187,15.121,15.6852
System.Nervous System.CNS.OLIGODENDROCYTE,11.9456,13.6074,14.1126,14.6811,15.5139
System.Integumentary System.Skin.SKIN,9.00925,12.4423,13.9413,15.0373,16.2471
System.Cardiovascular System.Heart.HEART,4.2594,12.4102,13.9026,16.867,18.6464
System.Integumentary System.Skin.MELANOCYTE,11.2438,13.051,13.6565,14.0744,15.4785
System.Integumentary System.Skin.HAIR FOLLICLE,10.1983,12.0772,13.4146,15.4785,16.2904
System.Cardiovascular System.Heart.VENTRICLE,12.139,12.6933,13.0785,13.4898,15.2902
System.Digestive System.Intestine.SMALL INTESTINE,1.20968,8.89438,12.6194,13.5293,15.0413
System.Cardiovascular System.Heart.ATRIUM,9.11929,11.465,12.5405,13.054,14.6892
