id,min,q1,median,q3,max
System.Immune System.Myeloid.MICROGLIA,5.15332,11.2089,15.1868,17.4412,18.6464
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,1.38806,10.2475,14.766,15.3352,16.4049
System.Nervous System.CNS.SPINAL CORD,7.90266,13.0583,13.8124,14.3778,15.1317
System.Immune System.Myeloid.MACROPHAGE,2.2655,11.0055,13.5785,15.611,17.4412
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,4.65403,11.8773,14.2547,15.663
System.Nervous System.Eye.RETINA,0.113644,6.56924,11.4136,13.5332,14.4388
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,9.58462,10.9746,11.5848,12.912
System.Nervous System.CNS.THALAMUS,4.53167,5.26174,10.8833,12.3305,14.2374
System.Urogenital/Reproductive System.Kidney.PODOCYTE,6.77035,9.95943,10.4112,11.7913,13.1997
System.Nervous System.CNS.HYPOTHALAMUS,4.23092,5.81111,10.3526,12.3913,14.242
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,8.956,11.8941,16.3707
System.Nervous System.CNS.CEREBELLUM,2.20815,6.82687,8.68785,9.88548,11.7672
System.Digestive System.Liver.LIVER,0.113644,5.78944,8.31686,10.6019,12.8902
System.Nervous System.CNS.MEDULLA,1.90033,5.15699,8.17263,10.1113,15.8438
System.Nervous System.CNS.OLIGODENDROCYTE,3.83218,6.30413,8.05706,9.8008,12.8741
System.Nervous System.CNS.ASTROCYTE,0.113644,4.89983,7.96808,10.5047,13.8067
System.Cardiovascular System.Heart.VALVE,0.113644,0.113644,7.94793,12.5226,14.5816
System.Integumentary System.Skin.MELANOCYTE,0.113644,6.29082,7.94433,9.49955,13.7002
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,3.28517,7.71739,10.6438,12.684
System.Nervous System.CNS.CEREBRAL CORTEX,3.76153,4.53217,7.65319,10.5185,12.045
System.Immune System.Myeloid.KUPFFER CELL,2.61696,3.37496,7.53787,11.7088,12.1336
System.Connective Tissue.Adipose tissue.ADIPOSE,0.113644,4.84279,7.26685,9.18557,11.5257
