id,min,q1,median,q3,max
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,3.38538,8.58734,10.5419,11.4798,12.0184
System.Cardiovascular System.Heart.VALVE,7.66227,8.87874,9.70267,10.1752,10.8857
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,6.33362,8.44379,9.19562,10.2511,11.6892
System.Immune System.Myeloid.MACROPHAGE,2.77595,7.33897,9.16713,10.4118,11.3898
System.Connective Tissue.Adipose tissue.ADIPOSE,4.87314,7.78772,8.956,9.45371,9.91597
System.Immune System.Myeloid.KUPFFER CELL,6.4166,6.8482,8.50715,8.87659,9.10698
System.Immune System.Myeloid.DENDRITIC CELL,4.1275,6.79179,8.22586,9.18386,10.474
System.Cardiovascular System.Heart.VENTRICLE,5.9729,7.42462,7.97014,8.56434,9.76134
System.Integumentary System.Skin.MELANOCYTE,0.113644,7.00634,7.96411,9.01939,9.91191
System.Nervous System.PNS.SENSORY NEURON,6.44391,7.38583,7.96365,8.21963,9.02805
System.Digestive System.Intestine.COLON MUCOSA,5.47412,6.39224,7.74954,8.56686,9.37409
System.Digestive System.Intestine.SMALL INTESTINE,3.55054,6.61965,7.71533,8.54171,9.807
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,6.57607,7.13293,7.66284,8.01669,8.68395
System.Digestive System.Liver.HEPATIC STELLATE CELL,5.67402,7.0628,7.54934,8.4413,9.8213
System.Muscular System.Smooth muscle.MYOFIBROBLAST,5.72021,6.7517,7.36331,8.14135,8.91064
System.Respiratory System.Trachea.TRACHEA,5.12511,6.01703,7.33897,8.2346,9.22682
System.Nervous System.CNS.SPINAL CORD,5.4029,6.514,7.26034,8.01399,8.80701
System.Nervous System.Eye.RETINA,0.113644,6.14657,7.26034,8.13218,9.58455
System.Digestive System.Intestine.COLON,0.113644,5.12981,7.21464,8.93279,10.6147
System.Nervous System.CNS.MEDULLA,2.41968,5.98809,7.21123,8.36813,9.52258
System.Digestive System.Liver.LIVER,1.20968,5.3649,7.14836,8.30332,9.35542
System.Nervous System.CNS.ASTROCYTE,1.20968,5.79561,7.11933,8.48608,9.97211
System.Digestive System.Liver.HEPATOCYTE,4.96278,6.24863,7.10985,8.3814,9.59854
System.Cardiovascular System.Heart.ATRIUM,1.4208,4.74198,7.06147,8.55477,9.55817
System.Connective Tissue.Adipose tissue.ADIPOCYTE,5.40837,6.30103,7.04658,7.84657,9.32263
System.Cardiovascular System.Heart.HEART,2.41968,5.5514,6.8903,7.82526,9.29666
System.Nervous System.CNS.HYPOTHALAMUS,5.20789,5.72615,6.8453,7.29945,8.87838
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,6.81345,7.44552,10.0026
System.Urogenital/Reproductive System.Kidney.PODOCYTE,4.9183,6.09797,6.80572,7.61169,8.23985
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,4.25279,5.77836,6.73635,8.07652,9.31391
System.Nervous System.CNS.NEURON,0.113644,5.51459,6.66685,7.68261,9.43203
System.Nervous System.CNS.THALAMUS,5.19262,5.53357,6.58321,7.14882,8.76411
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,4.07745,5.47412,6.52893,7.18296,8.42438
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,5.09127,6.51689,7.96697,9.66726
