id,min,q1,median,q3,max
System.Digestive System.Liver.HEPATIC STELLATE CELL,13.2789,14.3981,15.2096,15.8438,16.7873
System.Muscular System.Skeletal muscle.MYOBLAST,9.71534,13.297,14.654,15.8438,17.1051
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,11.7516,13.5246,14.6277,16.3707,17.1051
System.Connective Tissue.Bone.OSTEOBLAST,10.7832,13.1933,14.4187,15.121,16.3707
System.Muscular System.Smooth muscle.MYOFIBROBLAST,10.8481,13.3282,14.264,15.6852,16.2904
System.Connective Tissue.Bone.STROMAL CELL,3.45997,12.3003,13.7784,15.0373,16.5074
System.Integumentary System.Skin.FIBROBLAST,2.61696,11.1312,13.6978,15.0775,16.3707
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,8.57244,11.4756,13.5975,14.1602,14.4832
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,11.0961,12.4391,13.3908,14.6025,16.0295
System.Immune System.Myeloid.DENDRITIC CELL,9.32088,12.2328,13.383,14.2278,15.2572
System.Urogenital/Reproductive System.Kidney.PODOCYTE,7.82843,12.7817,13.3299,14.0377,15.0838
System.Immune System.Myeloid.KUPFFER CELL,11.2093,11.6802,13.2969,15.407,16.3522
System.Connective Tissue.Bone marrow.CHONDROCYTE,7.69906,11.7035,13.0814,14.2458,16.11
System.Immune System.Myeloid.MACROPHAGE,7.81847,10.9784,12.6933,14.1936,15.7616
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,10.3623,11.4038,12.4246,13.7271,15.2937
System.Connective Tissue.Adipose tissue.ADIPOCYTE,6.34397,10.1517,12.4102,15.2572,16.3707
System.Integumentary System.Skin.KERATINOCYTE,7.86802,10.8045,12.2477,13.3752,14.9608
System.Integumentary System.Skin.SKIN,5.76131,10.7434,12.2179,13.6263,16.1368
System.Digestive System.Liver.HEPATOCYTE,8.04934,10.7693,11.9508,12.983,14.9608
System.Respiratory System.Trachea.TRACHEA,5.74381,8.73498,11.6718,13.1964,15.4915
System.Integumentary System.Skin.BASAL CELL,5.96266,9.38686,11.5968,12.7814,13.9501
System.Cardiovascular System.Heart.VALVE,7.36815,9.34453,11.3915,11.8894,12.4304
System.Respiratory System.Lung.LUNG,0.113644,8.72465,11.2657,13.4468,15.5435
System.Digestive System.Liver.LIVER,1.20968,9.65078,10.9477,11.8648,13.5467
System.Immune System.Granulocytic.NEUTROPHIL,2.92457,8.18902,10.5486,11.2904,11.9111
System.Digestive System.Esophagus.ESOPHAGUS,3.48993,9.35341,10.5293,11.9455,14.7028
System.Nervous System.CNS.PONS,0.113644,4.89983,10.451,11.842,13.732
System.Digestive System.Intestine.COLON MUCOSA,6.06681,9.06791,10.3908,14.0809,15.7194
System.Cardiovascular System.Heart.VENTRICLE,8.89504,9.75785,10.2627,10.7397,12.0027
System.Cardiovascular System.Heart.HEART,3.02985,9.49626,10.2047,11.1073,14.304
System.Digestive System.Intestine.COLON,0.113644,5.76319,10.1012,11.3645,13.6868
System.Immune System.Myeloid.MICROGLIA,0.113644,4.67269,10.0907,11.7223,14.3981
System.Cardiovascular System.Heart.ATRIUM,6.98061,9.02073,9.99846,10.3456,11.4807
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,6.48868,6.98326,9.99034,12.1076,12.2743
System.Nervous System.CNS.ASTROCYTE,0.113644,3.64478,9.87578,13.719,15.8438
System.Nervous System.PNS.SENSORY NEURON,6.26681,8.10585,9.81703,10.343,11.317
System.Connective Tissue.Adipose tissue.ADIPOSE,7.11458,8.35624,9.54449,10.7948,15.4322
System.Digestive System.Intestine.SMALL INTESTINE,4.42319,7.98587,9.5376,11.3553,14.8055
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,7.30273,8.18583,9.40771,10.4814,11.5856
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,4.78558,9.37667,11.1555,12.7622
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,5.99351,8.30332,8.97815,10.1815,15.611
System.Integumentary System.Skin.HAIR FOLLICLE,5.65377,7.42636,8.93339,12.1997,15.2627
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,5.72615,8.86348,11.6055,14.4399
System.Nervous System.CNS.SPINAL CORD,4.53885,7.79648,8.67403,9.5733,11.068
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,2.41968,5.80723,8.47155,11.5763,14.5969
System.Nervous System.CNS.MEDULLA,0.113644,3.96669,7.70719,10.2912,12.9029
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,1.20968,7.31371,10.1481,13.0382
System.Nervous System.CNS.HYPOTHALAMUS,3.5137,5.38652,7.11933,8.78132,11.0896
System.Integumentary System.Skin.MELANOCYTE,3.06763,4.79384,6.36972,9.89142,12.9385
System.Nervous System.CNS.THALAMUS,3.32592,4.82533,5.84343,7.52669,10.3602
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,4.57003,5.76781,8.10195,16.6677
