id,min,q1,median,q3,max
System.Connective Tissue.Bone.OSTEOBLAST,6.76871,12.5549,13.8419,14.4399,15.121
System.Digestive System.Liver.HEPATIC STELLATE CELL,10.4468,12.6668,13.4898,14.0232,14.6277
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,3.42719,9.03285,13.2437,14.2636,15.1914
System.Integumentary System.Skin.HAIR FOLLICLE,7.41034,11.0848,12.7996,14.0524,14.7663
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,8.35716,11.9091,12.7328,13.3299,14.1442
System.Connective Tissue.Bone.STROMAL CELL,3.48123,11.0002,12.5099,13.607,14.8264
System.Muscular System.Smooth muscle.MYOFIBROBLAST,6.58337,9.21166,12.3789,13.754,14.4261
System.Cardiovascular System.Heart.VALVE,5.57207,9.04623,11.9069,13.4661,14.3248
System.Connective Tissue.Adipose tissue.ADIPOCYTE,5.66977,8.86664,11.84,13.6465,15.0373
System.Integumentary System.Skin.KERATINOCYTE,4.45687,9.5331,11.5732,12.7814,13.9155
System.Integumentary System.Skin.SKIN,2.77595,9.26528,11.3254,12.5485,14.0521
System.Integumentary System.Skin.FIBROBLAST,1.81287,8.8032,11.1626,12.9776,14.3778
System.Nervous System.CNS.SPINAL CORD,5.6231,10.0831,10.8094,11.2395,11.7214
System.Connective Tissue.Bone marrow.CHONDROCYTE,3.20156,9.14359,10.5595,12.0222,12.831
System.Cardiovascular System.Heart.HEART,2.41968,7.78955,10.3869,12.7458,15.054
System.Connective Tissue.Adipose tissue.ADIPOSE,7.23823,9.59573,10.3142,11.0885,13.9581
System.Integumentary System.Skin.MELANOCYTE,4.78078,8.40279,9.69984,11.3209,12.7749
System.Cardiovascular System.Heart.VENTRICLE,7.30674,8.44034,9.255,10.004,12.2051
System.Immune System.Myeloid.KUPFFER CELL,1.30016,2.35544,9.18337,15.1874,15.611
System.Nervous System.CNS.HYPOTHALAMUS,7.78437,8.85952,9.14276,9.72661,10.8913
System.Nervous System.CNS.THALAMUS,7.86238,8.59067,9.11669,9.50842,10.6189
System.Cardiovascular System.Heart.ATRIUM,6.11724,8.24418,8.91253,9.56428,11.4531
System.Nervous System.CNS.OLIGODENDROCYTE,4.90196,7.5277,8.82663,11.2493,12.4151
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,0.661663,8.68093,10.5313,12.6324
System.Nervous System.CNS.ASTROCYTE,1.20968,6.24863,8.47383,10.5886,12.4688
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,5.02256,8.24022,11.6785,13.4842
System.Digestive System.Intestine.SMALL INTESTINE,2.35899,4.79451,8.17054,9.98543,12.1499
System.Nervous System.CNS.CEREBRAL CORTEX,5.50184,6.72393,8.16892,9.43367,9.6402
System.Nervous System.CNS.MIDBRAIN,0.113644,5.05617,7.95522,8.61475,12.5089
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,4.40161,6.68815,7.83623,9.26574,11.1867
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,4.29129,7.29406,8.55848,9.87718
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,4.61661,7.27465,8.76219,12.0131
System.Nervous System.CNS.MEDULLA,0.113644,4.08324,6.98284,9.86556,11.7321
System.Digestive System.Intestine.COLON MUCOSA,2.92457,3.70787,6.71018,11.0786,13.7111
System.Digestive System.Liver.LIVER,0.113644,3.28517,6.68963,8.70582,11.7465
System.Nervous System.CNS.NEURON,0.113644,4.00388,6.36501,8.52925,11.1264
System.Nervous System.PNS.SENSORY NEURON,2.77595,5.34282,6.30103,7.50607,8.32639
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,5.24758,6.20187,7.64307,11.6502
System.Nervous System.CNS.CEREBELLUM,1.87355,4.38682,5.65482,7.06926,9.05285
System.Immune System.Myeloid.MICROGLIA,0.113644,0.113644,4.67269,10.0374,11.3995
System.Urogenital/Reproductive System.Kidney.PODOCYTE,2.41968,3.64478,4.56034,8.21245,10.9376
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,4.47438,7.15725,9.97166
System.Immune System.Myeloid.MACROPHAGE,0.113644,2.77595,4.47438,5.61397,10.186
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,1.20968,4.40897,7.13589,10.7551
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,4.3519,9.73822,11.9504
System.Digestive System.Liver.HEPATOCYTE,0.113644,2.41968,4.31312,6.48238,10.1614
System.Digestive System.Intestine.COLON,0.113644,2.77595,4.05534,7.50607,11.6486
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,2.65466,3.7662,3.97559,4.44679,5.26827
System.Respiratory System.Trachea.TRACHEA,0.113644,2.61696,3.9543,5.84343,10.8147
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,2.41968,3.89584,7.95551,12.9509
System.Integumentary System.Skin.BASAL CELL,1.20968,2.92457,3.83218,8.24258,12.0524
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,2.16272,3.73874,4.63537,6.01139
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,1.81287,3.70787,6.44796,10.2276
System.Nervous System.Eye.RETINA,0.113644,2.61696,3.70787,5.12981,9.85808
System.Nervous System.CNS.PONS,0.113644,1.20968,3.64478,7.80811,12.3067
System.Respiratory System.Lung.LUNG,0.113644,0.113644,3.64478,8.48608,11.8412
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,3.39116,4.59911,7.71539
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,0.113644,3.1737,4.16691,5.15699
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,1.81287,3.1737,4.74622,10.7798
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,0.113644,2.77595,3.76961,9.59999
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,0.113644,2.41968,3.48123,4.51527
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,2.41968,4.31312,7.80811
System.Immune System.Thymus.THYMUS,0.113644,1.20968,2.16272,3.99148,7.21766
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,0.113644,2.16272,3.1737,4.94339
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,1.81287,3.70787,5.59191
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,1.20968,4.19364,7.98493
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,1.20968,3.05618,4.37208
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,0.113644,1.20968,3.28517,5.67028
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,3.1737,12.5711
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,0.113644,3.05618,7.99389
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,0.113644,7.08465,11.1181
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,0.113644,4.28996
