id,min,q1,median,q3,max
System.Digestive System.Liver.HEPATIC STELLATE CELL,12.4238,13.2933,13.7729,14.766,16.5489
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,12.8331,13.4468,13.7513,14.1936,15.1036
System.Cardiovascular System.Heart.VALVE,11.6316,12.7345,13.6925,14.9982,16.6976
System.Connective Tissue.Bone marrow.CHONDROCYTE,8.57205,12.1627,13.6874,14.4346,15.1101
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,10.161,12.768,13.6263,15.0373,15.9867
System.Muscular System.Smooth muscle.MYOFIBROBLAST,11.3708,12.9509,13.4225,14.5471,16.7375
System.Connective Tissue.Bone.OSTEOBLAST,10.3669,11.5563,13.1609,13.9282,15.0237
System.Integumentary System.Skin.FIBROBLAST,7.16288,11.1941,12.983,14.0818,15.4785
System.Muscular System.Skeletal muscle.MYOBLAST,9.30686,11.158,12.6194,13.7297,15.0413
System.Connective Tissue.Bone.STROMAL CELL,10.3614,11.782,12.574,13.4408,14.5306
System.Connective Tissue.Adipose tissue.ADIPOCYTE,6.69856,10.0746,12.1967,13.6565,14.754
System.Cardiovascular System.Heart.HEART,7.63378,9.40484,11.9487,14.0232,14.8584
System.Digestive System.Pancreas.PANCREATIC ISLET,1.57159,10.7008,11.9298,13.1578,14.9608
System.Immune System.Myeloid.KUPFFER CELL,8.57639,9.04943,11.6521,14.9438,15.645
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,6.1995,11.6241,14.2367,18.2142
System.Respiratory System.Trachea.TRACHEA,8.51589,10.0663,11.5165,12.4857,13.3614
System.Immune System.Myeloid.MACROPHAGE,7.31,9.92517,11.4763,12.4262,13.5785
System.Integumentary System.Skin.MELANOCYTE,7.68971,10.6373,11.1875,11.8045,13.8572
System.Integumentary System.Skin.SKIN,6.49365,9.23523,11.1764,13.1453,15.121
System.Digestive System.Pancreas.ALPHA CELL,9.2977,10.534,11.1571,11.8807,12.79
System.Digestive System.Liver.LIVER,6.66154,9.8704,11.1479,12.3497,13.6978
System.Nervous System.CNS.MEDULLA,4.42922,9.54275,10.9231,11.5514,12.4942
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,8.4411,10.0862,10.8445,11.2219,11.9312
System.Digestive System.Esophagus.ESOPHAGUS,5.14037,9.08972,10.7693,11.5187,13.0139
System.Respiratory System.Lung.LUNG,4.01417,9.19557,10.4935,11.905,14.2422
System.Cardiovascular System.Heart.ATRIUM,4.63635,8.66655,10.4497,11.5505,12.7814
System.Immune System.Granulocytic.NEUTROPHIL,8.90075,9.94211,10.4306,11.5439,12.9733
System.Digestive System.Pancreas.BETA CELL,3.84173,8.2272,10.3481,11.398,12.8239
System.Digestive System.Intestine.SMALL INTESTINE,5.79774,9.40952,10.2872,11.3333,13.0668
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,9.50737,9.75512,10.24,10.7334,11.0539
System.Digestive System.Liver.HEPATOCYTE,7.14294,8.79734,10.2165,11.6303,13.5656
System.Immune System.Myeloid.DENDRITIC CELL,6.09783,8.32349,10.1156,11.4602,12.7538
System.Digestive System.Intestine.COLON,5.12981,8.69932,10.0346,11.1596,12.7812
System.Urogenital/Reproductive System.Breast.BREAST,4.31312,8.14304,10.034,11.5235,13.6565
System.Cardiovascular System.Heart.VENTRICLE,8.17145,9.2465,9.99244,11.0549,13.0977
System.Urogenital/Reproductive System.Kidney.PODOCYTE,7.46311,9.12601,9.98948,10.6568,13.8217
System.Digestive System.Intestine.COLON MUCOSA,7.86765,8.99679,9.97547,11.5013,14.0091
System.Integumentary System.Skin.BASAL CELL,6.5527,8.91719,9.9635,11.0873,12.7973
System.Immune System.Granulocytic.GRANULOCYTE,6.13682,8.36527,9.92325,10.4991,11.2988
