id,min,q1,median,q3,max
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,3.72331,5.6831,6.93452,8.31069
System.Muscular System.Smooth muscle.MYOFIBROBLAST,0.113644,3.80117,5.27315,6.36132,6.7535
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,3.85764,4.80976,5.23546,5.78326,6.68798
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,0.113644,3.7384,4.84279,5.55621,6.44744
System.Digestive System.Liver.HEPATIC STELLATE CELL,2.1345,3.76961,4.63537,5.47412,7.45827
System.Integumentary System.Skin.MELANOCYTE,0.113644,3.50298,4.51527,5.0422,6.4358
System.Immune System.Myeloid.MACROPHAGE,0.113644,0.113644,4.43111,7.03818,8.44788
System.Connective Tissue.Bone.OSTEOBLAST,1.20968,3.05618,4.26947,5.02256,6.22436
System.Immune System.Myeloid.KUPFFER CELL,3.05618,3.62564,3.76961,4.29881,5.73334
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,0.113644,3.76961,6.10721,7.97003
System.Digestive System.Liver.LIVER,0.113644,1.20968,3.76961,5.34282,6.74966
System.Integumentary System.Skin.FIBROBLAST,0.113644,0.113644,3.56825,5.18213,7.14506
System.Connective Tissue.Bone.STROMAL CELL,0.113644,0.113644,3.56825,5.71347,8.64736
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,1.20968,3.1737,4.16691,5.59931
System.Nervous System.CNS.ASTROCYTE,0.113644,0.113644,3.1737,4.89983,7.22538
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,0.113644,3.1737,4.95632,6.16895
System.Connective Tissue.Adipose tissue.ADIPOCYTE,0.113644,1.20968,3.05618,4.11061,5.22443
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,1.20968,3.05618,4.38682,6.4427
System.Cardiovascular System.Heart.VENTRICLE,0.113644,2.16272,2.92457,3.64478,4.67269
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,0.113644,2.92457,4.43111,5.5514
System.Connective Tissue.Adipose tissue.ADIPOSE,0.113644,1.20968,2.92457,3.56825,5.10633
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,0.113644,1.81287,2.77595,4.16691,6.491
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,2.77595,3.76961,6.2199
System.Nervous System.CNS.THALAMUS,0.113644,1.81287,2.61696,4.14133,5.28152
System.Nervous System.CNS.HYPOTHALAMUS,1.20968,1.81287,2.41968,3.89584,5.40424
System.Nervous System.CNS.MEDULLA,0.113644,0.113644,2.41968,3.5465,6.55998
System.Cardiovascular System.Heart.VALVE,0.113644,0.113644,2.2912,3.45871,4.16691
System.Digestive System.Intestine.COLON MUCOSA,0.113644,0.113644,2.2912,3.83218,5.15055
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,0.113644,2.16272,3.76961,7.98498
System.Digestive System.Intestine.COLON,0.113644,0.113644,1.81287,3.83218,5.59303
System.Nervous System.CNS.SPINAL CORD,0.113644,1.20968,1.81287,2.41968,3.39116
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,0.113644,1.81287,2.01389,2.7203
System.Immune System.Thymus.THYMUS,0.113644,0.113644,1.81287,4.56034,7.03321
System.Cardiovascular System.Heart.ATRIUM,0.113644,1.20968,1.81287,2.41968,4.05242
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,0.113644,1.81287,2.85026,4.45301
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,1.20968,3.14432,6.62617
