id,min,q1,median,q3,max
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,2.35544,9.5094,10.1593,11.0279
System.Connective Tissue.Bone marrow.CHONDROCYTE,5.169,7.12062,9.35137,11.923,13.8777
System.Immune System.Granulocytic.NEUTROPHIL,1.10008,6.46921,9.03285,11.0312,12.8051
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,3.56825,5.65482,8.97262,10.3288,11.3941
System.Immune System.Myeloid.MACROPHAGE,0.113644,5.15699,8.90075,12.0452,14.1936
System.Digestive System.Liver.HEPATIC STELLATE CELL,5.19243,6.9657,8.13314,9.26547,10.9305
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,5.94221,6.83834,7.70435,8.42438,9.47551
System.Connective Tissue.Adipose tissue.ADIPOCYTE,0.113644,4.3519,6.63774,8.36605,10.0873
System.Cardiovascular System.Heart.HEART,0.113644,3.05618,6.63774,10.7507,12.3284
System.Muscular System.Smooth muscle.MYOFIBROBLAST,2.8334,5.53767,6.62503,9.65397,10.9665
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,1.20968,6.03426,8.23391,11.0783
System.Immune System.Myeloid.KUPFFER CELL,2.64081,3.71927,6.03168,8.06592,9.49822
System.Connective Tissue.Bone.STROMAL CELL,0.113644,2.26797,5.95955,7.69729,10.2049
System.Cardiovascular System.Heart.VALVE,0.113644,3.94953,5.94294,7.61038,9.01958
System.Connective Tissue.Bone.OSTEOBLAST,1.84321,4.00388,5.88569,6.99029,8.49475
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,3.39116,5.76006,9.84641,13.8383
System.Integumentary System.Skin.FIBROBLAST,0.113644,2.61696,5.59303,7.95551,10.6303
System.Connective Tissue.Adipose tissue.ADIPOSE,1.81287,4.43111,5.51459,6.58321,10.1982
System.Cardiovascular System.Heart.VENTRICLE,2.92457,4.43111,5.18213,6.11658,8.12374
System.Integumentary System.Skin.MELANOCYTE,0.113644,3.20156,4.77799,5.52847,6.59985
System.Integumentary System.Skin.SKIN,0.113644,1.81287,4.51527,6.9754,10.2756
System.Cardiovascular System.Heart.ATRIUM,0.113644,2.07526,4.02961,4.81802,7.93189
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,2.41968,3.83218,5.19501,8.71809
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,3.56825,5.62355,7.63923
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,2.16272,3.28517,5.41928,8.22359
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,0.113644,2.99037,4.47438,5.92852
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,2.92457,4.61464,6.4229
System.Nervous System.CNS.THALAMUS,0.113644,1.81287,2.61696,3.66893,7.59927
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,0.113644,2.41968,4.0968,6.35936
