id,min,q1,median,q3,max
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,9.15557,11.5391,13.5692,14.0304,14.424
System.Cardiovascular System.Heart.VENTRICLE,11.9537,13.0311,13.5555,13.8536,14.3124
System.Cardiovascular System.Heart.ATRIUM,12.079,12.9738,13.5467,13.8717,14.2691
System.Nervous System.CNS.SPINAL CORD,8.23356,12.4199,13.1641,13.588,14.0232
System.Cardiovascular System.Heart.VALVE,9.59378,11.5479,12.5333,12.8877,13.7986
System.Connective Tissue.Adipose tissue.ADIPOSE,7.98572,11.6113,12.3212,14.343,15.3615
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,8.67118,11.2038,12.245,12.737,13.9933
System.Digestive System.Liver.HEPATIC STELLATE CELL,10.6353,11.5566,12.2179,13.0961,13.6679
System.Connective Tissue.Bone.OSTEOBLAST,9.43831,11.2239,12.051,12.3407,12.9029
System.Connective Tissue.Bone marrow.CHONDROCYTE,9.49303,11.3446,11.9736,12.8077,13.8271
System.Connective Tissue.Adipose tissue.ADIPOCYTE,8.82395,10.8489,11.9656,12.8322,14.766
System.Integumentary System.Skin.HAIR FOLLICLE,7.27132,11.1811,11.9133,12.8065,13.3746
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,11.269,11.584,11.9091,12.1158,12.4636
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,9.92291,11.2318,11.8165,12.4925,13.3568
System.Immune System.Myeloid.KUPFFER CELL,10.7887,10.8354,11.8147,12.8597,13.417
System.Nervous System.PNS.SENSORY NEURON,7.44736,9.83595,11.5732,12.3242,12.5986
System.Muscular System.Smooth muscle.MYOFIBROBLAST,8.60182,9.3527,11.401,12.5955,13.965
System.Muscular System.Skeletal muscle.MYOBLAST,7.89427,10.1245,11.3273,12.0259,13.2583
System.Urogenital/Reproductive System.Kidney.PODOCYTE,8.52282,10.0769,10.9623,11.9915,12.3162
System.Connective Tissue.Bone.STROMAL CELL,6.23678,9.35794,10.81,11.8916,12.9679
System.Integumentary System.Skin.SKIN,5.04875,8.85257,10.8028,12.0226,13.0433
System.Integumentary System.Skin.FIBROBLAST,5.69219,8.83322,10.6799,11.8165,12.8608
System.Digestive System.Liver.LIVER,1.20968,8.54663,10.5901,11.2209,12.3331
System.Digestive System.Liver.HEPATOCYTE,5.68051,9.1636,10.5067,11.3311,12.3254
System.Cardiovascular System.Heart.HEART,5.29956,9.45093,10.4935,13.1515,14.0521
System.Integumentary System.Skin.MELANOCYTE,4.7494,7.67596,10.3684,11.3979,12.2826
System.Immune System.Myeloid.MACROPHAGE,6.34027,8.2838,10.2241,11.1808,12.1597
System.Urogenital/Reproductive System.Ovary.OVARY,4.81994,8.20059,10.1038,11.6384,13.4644
System.Digestive System.Intestine.SMALL INTESTINE,3.05618,7.42033,10.0028,11.4402,13.1793
System.Nervous System.CNS.THALAMUS,7.71203,9.04643,9.85343,10.7026,12.9666
System.Nervous System.CNS.HYPOTHALAMUS,7.70654,8.95941,9.85343,10.9799,13.5834
System.Nervous System.CNS.CEREBELLUM,7.81914,9.33719,9.6997,10.0758,11.3026
System.Immune System.Myeloid.DENDRITIC CELL,5.79775,7.99651,9.40188,10.7072,11.8684
System.Nervous System.CNS.MEDULLA,3.96729,6.97527,9.28819,11.8202,12.655
System.Nervous System.Eye.RETINA,0.113644,7.50791,9.24767,10.1331,11.9298
System.Nervous System.CNS.ASTROCYTE,5.38652,7.80811,9.1216,10.5304,12.3422
System.Urogenital/Reproductive System.Ovary.GRANULOSA,3.83218,6.66017,8.9327,10.9714,11.878
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,6.45202,8.79012,10.1686,11.7902
System.Nervous System.CNS.OLIGODENDROCYTE,6.16955,7.90934,8.75087,9.747,10.6117
System.Nervous System.CNS.CEREBRAL CORTEX,5.30221,7.39373,8.75055,9.33867,9.62482
System.Nervous System.CNS.MIDBRAIN,0.113644,7.79832,8.72014,9.58279,11.48
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,6.45531,8.57627,10.9202,12.7953
System.Respiratory System.Trachea.TRACHEA,4.2594,6.90917,8.22586,9.44557,11.0776
System.Nervous System.PNS.MOTOR NEURON,0.113644,6.88087,8.15151,10.0357,12.3585
System.Digestive System.Esophagus.ESOPHAGUS,1.20968,6.12015,8.14653,10.7825,13.4969
System.Digestive System.Pancreas.BETA CELL,3.74484,6.46188,8.1023,10.1742,11.7508
System.Respiratory System.Lung.LUNG,0.113644,5.65482,8.04272,10.9129,13.6666
System.Integumentary System.Skin.BASAL CELL,4.61346,6.83068,8.01669,9.97045,11.9745
System.Digestive System.Pancreas.ALPHA CELL,0.113644,5.52384,8.01158,9.14687,10.0713
System.Digestive System.Intestine.COLON,3.05618,6.24863,7.98143,9.6132,12.2046
System.Urogenital/Reproductive System.Kidney.KIDNEY,3.64478,5.15699,7.97891,11.2523,13.8901
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,6.18994,7.13158,7.82367,9.12317,10.0082
System.Immune System.Myeloid.MICROGLIA,4.89983,6.74966,7.70909,8.31686,10.0508
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,7.68261,9.40874,11.9091
System.Nervous System.CNS.NEURON,3.56825,6.2249,7.67462,8.94437,11.3379
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,6.59157,7.11817,7.66436,7.99228,8.01158
System.Digestive System.Intestine.COLON MUCOSA,4.48316,6.38226,7.61932,10.2017,10.95
System.Nervous System.CNS.PONS,0.113644,5.47412,7.53071,9.72243,12.7018
System.Immune System.Granulocytic.NEUTROPHIL,3.28517,5.76006,7.39734,8.42617,9.70025
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,3.91156,5.69219,6.66685,7.58667,9.71212
System.Urogenital/Reproductive System.Breast.BREAST,1.20968,5.04875,6.42264,8.32102,11.7609
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,4.31312,6.41035,9.27172,11.5889
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,4.38682,5.40837,6.33362,8.26824,11.6905
System.Integumentary System.Skin.KERATINOCYTE,4.16691,5.34282,6.17424,7.4111,11.051
System.Immune System.Thymus.THYMOCYTE,1.88284,5.02256,6.09783,7.09227,8.0642
System.Immune System.Granulocytic.GRANULOCYTE,2.41968,3.70787,5.63312,6.72342,8.82243
System.Immune System.Thymus.THYMUS,1.81287,4.01675,5.62355,8.69661,13.6111
System.Immune System.Spleen.SPLEEN,0.113644,3.48123,5.23546,7.29945,11.1015
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,1.44794,3.64478,4.61724,6.73632,8.89386
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,3.48123,4.51527,5.63312,7.79386
System.Immune System.Lymphoid.TLYMPHOCYTE,1.81287,3.05618,4.21911,5.25971,7.34006
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,3.64478,7.3669,9.46458
