id,min,q1,median,q3,max
System.Connective Tissue.Bone marrow.CHONDROCYTE,0.113644,5.96325,8.34337,9.65741,10.572
System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,5.78326,7.36331,8.23044,8.98109,10.3724
System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,3.10318,5.57065,8.06575,9.714,10.8292
System.Connective Tissue.Bone.OSTEOBLAST,1.20968,4.32281,7.58823,9.93795,11.9856
System.Digestive System.Liver.HEPATIC STELLATE CELL,4.2211,6.18762,7.51341,9.4696,11.3126
System.Connective Tissue.Bone.STROMAL CELL,0.113644,1.20968,7.19032,9.04662,10.7835
System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,3.76961,5.76947,6.95675,8.62348,9.81556
System.Muscular System.Smooth muscle.MYOFIBROBLAST,2.87255,4.73653,6.65349,7.81989,9.33114
System.Connective Tissue.Adipose tissue.ADIPOCYTE,1.20968,3.83218,6.28742,9.3222,11.6217
System.Cardiovascular System.Heart.VALVE,0.113644,1.20968,6.20498,8.55477,9.36001
System.Integumentary System.Skin.FIBROBLAST,0.113644,0.113644,5.02256,7.60436,10.224
System.Cardiovascular System.Heart.ATRIUM,0.113644,2.07526,4.61724,5.69219,6.72589
System.Cardiovascular System.Heart.VENTRICLE,2.41968,3.70787,4.43111,5.25971,7.3833
System.Integumentary System.Skin.HAIR FOLLICLE,0.113644,1.20968,4.12387,10.7152,11.808
System.Urogenital/Reproductive System.Ovary.OVARY,0.113644,0.113644,4.08298,6.83081,9.19031
System.Integumentary System.Skin.SKIN,0.113644,0.113644,3.89584,5.98306,9.64848
System.Cardiovascular System.Heart.HEART,0.113644,1.20968,3.89584,5.69219,8.2621
System.Digestive System.Intestine.SMALL INTESTINE,0.113644,1.20968,3.56825,5.20789,8.01813
System.Digestive System.Liver.LIVER,0.113644,0.113644,3.56825,5.41928,8.44022
System.Immune System.Myeloid.KUPFFER CELL,0.113644,0.113644,3.53629,6.4115,7.44521
System.Integumentary System.Skin.MELANOCYTE,0.113644,1.20968,3.52474,4.89316,6.70619
System.Digestive System.Intestine.COLON MUCOSA,0.113644,1.20968,3.11494,6.20118,9.79758
System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,0.113644,0.113644,3.05618,4.97058,8.54754
System.Nervous System.CNS.MEDULLA,0.113644,1.20968,2.92457,4.94037,7.25708
System.Integumentary System.Skin.BASAL CELL,0.113644,0.113644,2.85026,4.57003,6.88122
System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,0.113644,0.113644,2.61696,3.70787,6.10346
System.Nervous System.CNS.SPINAL CORD,0.113644,1.81287,2.41968,3.1737,4.31312
System.Urogenital/Reproductive System.Ovary.GRANULOSA,0.113644,0.113644,2.41968,6.93811,10.2312
System.Nervous System.CNS.HYPOTHALAMUS,0.113644,1.20968,2.16272,3.05618,4.70423
System.Urogenital/Reproductive System.Kidney.PODOCYTE,0.113644,1.20968,2.16272,3.52474,5.08121
System.Connective Tissue.Adipose tissue.ADIPOSE,0.113644,0.113644,2.16272,3.66055,9.04711
System.Muscular System.Skeletal muscle.MYOBLAST,0.113644,0.113644,2.16272,4.82627,7.1137
System.Nervous System.CNS.THALAMUS,0.113644,0.661663,2.16272,3.11494,4.68452
System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,0.113644,0.113644,1.81287,3.1737,4.3148
System.Digestive System.Liver.HEPATOCYTE,0.113644,0.113644,1.81287,3.9543,8.9019
System.Digestive System.Intestine.COLON,0.113644,0.113644,1.81287,4.05534,8.41995
System.Nervous System.CNS.ASTROCYTE,0.113644,0.113644,1.81287,4.21911,7.21826
System.Digestive System.Esophagus.ESOPHAGUS,0.113644,0.113644,1.20968,3.33816,7.10976
System.Respiratory System.Lung.LUNG,0.113644,0.113644,1.20968,4.3519,8.28158
System.Integumentary System.Skin.KERATINOCYTE,0.113644,0.113644,1.20968,2.61696,6.33362
System.Urogenital/Reproductive System.Testis.TESTIS,0.113644,0.113644,1.20968,3.48123,7.66844
System.Respiratory System.Trachea.TRACHEA,0.113644,0.113644,1.20968,3.70787,7.05122
System.Connective Tissue.Bone marrow.BONE MARROW,0.113644,0.113644,0.113644,0.113644,7.19032
System.Nervous System.CNS.CEREBELLUM,0.113644,0.113644,0.113644,1.20968,2.76005
System.Nervous System.CNS.OLIGODENDROCYTE,0.113644,0.113644,0.113644,1.20968,5.01835
System.Nervous System.CNS.NEURON,0.113644,0.113644,0.113644,1.20968,4.96278
System.Nervous System.CNS.MIDBRAIN,0.113644,0.113644,0.113644,0.113644,2.41968
System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,0.113644,0.113644,0.113644,0.113644,0.113644
System.Immune System.Lymphoid.PLASMA CELL,0.113644,0.113644,0.113644,0.113644,2.77595
System.Immune System.Lymphoid.TLYMPHOCYTE,0.113644,0.113644,0.113644,0.113644,2.8354
System.Immune System.Myeloid.DENDRITIC CELL,0.113644,0.113644,0.113644,1.20968,3.64478
System.Immune System.Myeloid.MACROPHAGE,0.113644,0.113644,0.113644,1.20968,4.89983
System.Immune System.Myeloid.MICROGLIA,0.113644,0.113644,0.113644,3.70787,6.00959
System.Immune System.Spleen.SPLEEN,0.113644,0.113644,0.113644,2.16272,5.59303
System.Immune System.Thymus.THYMOCYTE,0.113644,0.113644,0.113644,1.20968,4.10008
System.Immune System.Thymus.THYMUS,0.113644,0.113644,0.113644,1.20968,2.64081
System.Digestive System.Pancreas.BETA CELL,0.113644,0.113644,0.113644,1.20968,4.496
System.Digestive System.Pancreas.PANCREATIC ISLET,0.113644,0.113644,0.113644,0.113644,7.13164
System.Digestive System.Pancreas.ALPHA CELL,0.113644,0.113644,0.113644,0.113644,3.1737
System.Immune System.Granulocytic.GRANULOCYTE,0.113644,0.113644,0.113644,1.81287,3.58463
System.Nervous System.CNS.CEREBRAL CORTEX,0.113644,0.113644,0.113644,1.20968,1.81287
System.Immune System.Granulocytic.NEUTROPHIL,0.113644,0.113644,0.113644,1.20968,3.05618
System.Immune System.Lymphoid.BLYMPHOCYTE,0.113644,0.113644,0.113644,0.113644,6.54391
System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,0.113644,0.113644,0.113644,2.77595,6.58565
System.Urogenital/Reproductive System.Kidney.KIDNEY,0.113644,0.113644,0.113644,4.84279,7.94077
System.Urogenital/Reproductive System.Ovary.OOCYTE,0.113644,0.113644,0.113644,3.33816,10.2089
System.Urogenital/Reproductive System.Breast.BREAST,0.113644,0.113644,0.113644,3.48123,10.5114
System.Nervous System.Eye.RETINA,0.113644,0.113644,0.113644,1.81287,5.77028
System.Nervous System.PNS.SENSORY NEURON,0.113644,0.113644,0.113644,1.20968,3.43619
System.Nervous System.PNS.MOTOR NEURON,0.113644,0.113644,0.113644,0.113644,2.92457
System.Respiratory System.Lung.LUNG EPITHELIAL CELL,0.113644,0.113644,0.113644,2.7362,5.4099
System.Nervous System.CNS.PONS,0.113644,0.113644,0.113644,1.81287,6.67248
